scenario_id,category,start_x,start_y,goal_x,goal_y,straight_line_distance,direct_path_blocked,number_of_blocking_obstacles,first_obstacle_distance,shortest_collision_free_path,detour_ratio,same_room,start_room,goal_room,difficulty,success,collision,timeout
WALL-BLOCKED_4,WALL-BLOCKED,0.0,0.0,-3.182051187042024,5.133219002630996,6.039485664022021,True,2,1.2942043242299184,7.420999999999992,1.228747018013111,False,LivingRoom,BR1,HARD,True,False,False
WALL-BLOCKED_5,WALL-BLOCKED,0.0,0.0,-4.650183770987252,-4.297002200832351,6.3315430203001295,True,1,4.357018703512214,6.714599999999996,1.0604997831447585,False,LivingRoom,BR3,MODERATE,False,True,False
WALL-BLOCKED_6,WALL-BLOCKED,0.0,0.0,-0.33435175376905213,4.081606884459666,4.095278483145802,True,1,1.1036845191074154,6.900600000000001,1.6850136146783554,False,LivingRoom,Corridor,HARD,True,False,False
WALL-BLOCKED_7,WALL-BLOCKED,0.0,0.0,-0.6614890066420148,3.7918369289314136,3.849103142488683,True,1,1.1166127489376894,6.476400000000001,1.6825737737473587,False,LivingRoom,Corridor,HARD,False,True,False
WALL-BLOCKED_8,WALL-BLOCKED,0.0,0.0,4.632606656316673,-5.2199951418324515,6.979211539486673,True,2,1.7381194339862271,7.555999999999995,1.0826437853688764,False,LivingRoom,Kitchen,HARD,True,False,False
WALL-BLOCKED_9,WALL-BLOCKED,0.0,0.0,-3.5854634687260587,-5.816425487849758,6.8327413050164125,True,1,3.620789499814331,7.390399999999993,1.0816156605510827,False,LivingRoom,BR3,MODERATE,False,True,False
WALL-BLOCKED_10,WALL-BLOCKED,0.0,0.0,0.07875937538106448,3.187494175255357,3.188467054322068,True,1,1.1003357392718363,6.127999999999998,1.9219267113622205,False,LivingRoom,Corridor,VERY_HARD,True,False,False
WALL-BLOCKED_11,WALL-BLOCKED,0.0,0.0,-6.5020254078192155,-0.12086965125113203,6.503148766291619,True,1,4.767326169487526,7.179599999999997,1.1040190310907065,False,LivingRoom,Corridor,MODERATE,True,False,False
WALL-BLOCKED_12,WALL-BLOCKED,0.0,0.0,4.53491869005683,-4.891089110974547,6.669950540815167,True,1,4.2653149682208715,7.114599999999996,1.066664581163519,False,LivingRoom,Kitchen,MODERATE,False,False,True
WALL-BLOCKED_13,WALL-BLOCKED,0.0,0.0,-6.7766819364003545,-0.3112733131055101,6.7838270277614345,True,1,4.896139598414675,7.462399999999997,1.1000280475108875,False,LivingRoom,Corridor,MODERATE,True,False,False
