scenario_id,category,model,success,collision,timeout,initial_distance_to_goal,final_distance_to_goal,episode_steps,episode_time,path_length,minimum_clearance,mean_linear_velocity,mean_angular_velocity,mean_absolute_angular_velocity,forward_percentage,reverse_percentage,stationary_percentage,oscillation_events,oscillation_rate,no_turn_event,front_collision,successful_obstacle_avoidance,critical_recovery,angular_velocity_when_clearance_below_0.45m,direct_goal_path_blocked,first_obstacle_detected_step,first_turn_step,clearance_at_first_turn,did_robot_turn_away_from_blocking_wall,did_robot_get_around_wall,final_result
WALL-BLOCKED_26,WALL-BLOCKED,Champion,False,True,False,6.493275904419865,1.2450187,333,33.300000000000004,4.878581,0.3001615107059479,0.14217404,-0.07184848,0.24266951,0.7417417417417418,0.018018018018018018,0.24024024024024024,0,0.0,True,False,False,False,0.16347231,True,207,218,0.3177493214607239,True,False,Collision
WALL-BLOCKED_27,WALL-BLOCKED,Champion,True,False,False,6.876797236444674,1.1464505,275,27.5,7.2412853,0.9085003137588501,0.26331952,0.037937395,0.13226451,0.9963636363636363,0.0,0.0036363636363636364,0,0.0,False,False,False,False,0.0,True,-1,-1,-1.0,False,True,Success
WALL-BLOCKED_28,WALL-BLOCKED,Champion,False,True,False,3.906375526996915,1.2181702,325,32.5,5.240953,0.30007678270339966,0.15752144,0.07075028,0.2151416,0.803076923076923,0.0,0.19692307692307692,0,0.0,True,False,False,False,0.22940719,True,192,202,0.3131468594074249,True,False,Collision
WALL-BLOCKED_29,WALL-BLOCKED,Champion,False,False,True,6.6441648901500265,12.0,800,80.0,12.025717,0.8835506439208984,-0.06399779,-0.0029451656,0.1586727,0.2175,0.72,0.0625,0,0.0,False,False,False,False,0.0,True,-1,-1,-1.0,False,False,Timeout
WALL-BLOCKED_30,WALL-BLOCKED,Champion,True,False,False,3.9688091620432733,1.1849903,409,40.900000000000006,5.5153847,0.3977280557155609,0.05329389,0.004273352,0.12830105,0.5745721271393643,0.39364303178484106,0.03178484107579462,0,0.0,False,False,True,False,0.19322582,True,243,243,0.44898492097854614,True,True,Success
COMPLEX OBSTACLE_1,COMPLEX OBSTACLE,Champion,False,True,False,7.469207007360053,12.0,323,32.300000000000004,3.4099994,0.5079067945480347,-0.10557278,-0.03873962,0.09435599,0.0,0.9845201238390093,0.015479876160990712,0,0.0,False,False,False,False,0.0,True,-1,-1,-1.0,False,False,Collision
COMPLEX OBSTACLE_2,COMPLEX OBSTACLE,Champion,True,False,False,7.2804115316667275,1.1713357,433,43.300000000000004,7.1668444,0.300581693649292,0.16522083,-0.16578338,0.22548807,0.930715935334873,0.0,0.06928406466512702,0,0.0,False,False,True,True,0.13995498,True,215,217,0.3816651701927185,True,True,Success
COMPLEX OBSTACLE_3,COMPLEX OBSTACLE,Champion,False,True,False,5.142704932113206,1.2157964,225,22.5,3.7288797,0.30089157819747925,0.16463941,-0.048661605,0.20398898,0.7644444444444445,0.0,0.23555555555555555,0,0.0,False,False,False,False,0.2044606,True,61,62,0.43379539251327515,True,False,Collision
COMPLEX OBSTACLE_4,COMPLEX OBSTACLE,Champion,False,True,False,7.193320387186638,2.981948,362,36.2,7.826622,0.30029869079589844,0.21570136,-0.046095636,0.20613244,0.9060773480662984,0.0027624309392265192,0.09116022099447514,0,0.0,False,False,False,False,0.11686982,True,172,173,0.43109411001205444,True,False,Collision
COMPLEX OBSTACLE_5,COMPLEX OBSTACLE,Champion,False,True,False,6.802798748996336,1.231982,264,26.400000000000002,4.268193,0.3005250096321106,0.16163626,-0.15543179,0.24215734,0.8712121212121212,0.0,0.12878787878787878,0,0.0,True,False,False,False,0.08365407,True,221,225,0.33682188391685486,True,False,Collision
