episode_id,category,outcome,initial_goal_distance,final_goal_distance,total_distance_reduction,angular_reversals,linear_reversals,cumulative_angular_rotation,percent_turning,avg_lin_last10,avg_ang_last10
COMPLEX OBSTACLE_13,COMPLEX OBSTACLE,COLLISION,6.968581761158556,1.296402867200944,5.6721788939576125,36,2,10.053662,0.22560975609756098,0.07391197,0.0016233464
COMPLEX OBSTACLE_14,COMPLEX OBSTACLE,SUCCESS,6.468859429755326,0.49055158399093235,5.978307845764394,30,0,7.2152305,0.40607734806629836,0.135625,-0.11949741
COMPLEX OBSTACLE_15,COMPLEX OBSTACLE,COLLISION,7.170888407142023,5.545888961172453,1.6249994459695696,3,1,6.158045,0.4049586776859504,0.060652185,0.17410049
COMPLEX OBSTACLE_16,COMPLEX OBSTACLE,COLLISION,6.395119690479935,3.544056773110954,2.851062917368981,20,3,11.591347,0.22589928057553957,0.15400162,-0.19715738
COMPLEX OBSTACLE_17,COMPLEX OBSTACLE,COLLISION,7.348310750341127,6.5089227442506905,0.8393880060904362,177,0,8.26948,0.04084720121028744,-0.11306089,-0.014678946
COMPLEX OBSTACLE_18,COMPLEX OBSTACLE,SUCCESS,6.4559717069405025,0.4932644591242663,5.962707247816236,59,2,9.887312,0.3888888888888889,0.13519996,-0.04347243
COMPLEX OBSTACLE_19,COMPLEX OBSTACLE,COLLISION,8.19377795067983,7.236955189404291,0.9568227612755393,5,1,5.72649,0.3776824034334764,0.13426374,0.12418643
COMPLEX OBSTACLE_20,COMPLEX OBSTACLE,COLLISION,8.488576906687129,5.080790506489672,3.407786400197457,17,0,3.9798715,0.3108108108108108,0.15475851,-0.04996307
COMPLEX OBSTACLE_21,COMPLEX OBSTACLE,COLLISION,5.076324396259727,4.092204985280196,0.984119410979531,3,1,6.1947246,0.4678111587982833,0.14515568,0.1372885
COMPLEX OBSTACLE_22,COMPLEX OBSTACLE,SUCCESS,7.517232496271056,0.49354240563677393,7.0236900906342825,59,2,9.66284,0.2871900826446281,0.18391222,0.017437834
COMPLEX OBSTACLE_23,COMPLEX OBSTACLE,COLLISION,7.009149846235001,1.340293801309512,5.668856044925489,65,0,6.6968675,0.373134328358209,0.17832819,0.13720112
COMPLEX OBSTACLE_24,COMPLEX OBSTACLE,TIMEOUT,3.7328936750142327,3.265428967843332,0.4674647071709006,5,3,9.950545,0.16,0.15166183,0.03786151
COMPLEX OBSTACLE_25,COMPLEX OBSTACLE,SUCCESS,9.291293361617887,0.48605630075543416,8.805237060862453,49,0,7.9436045,0.288981288981289,0.13885225,0.013719464
COMPLEX OBSTACLE_26,COMPLEX OBSTACLE,COLLISION,5.711674750872189,2.606456550032681,3.105218200839508,60,0,12.6988,0.5152603231597845,0.06476238,0.1821127
