scenario_id,category,outcome,final_dist_to_goal,strict_success_025m,min_clearance,path_length,total_steps,mean_linear_vel,mean_angular_vel,max_linear_vel,oscillation_detected,no_turn_detected,fallback_used_count,failure_reason
COMPLEX OBSTACLE_14,COMPLEX OBSTACLE,COLLISION,2.5486,False,0.3,11.112,210,0.2611,0.194,0.3373,False,False,0,LATE_OBSTACLE_REACTION
COMPLEX OBSTACLE_15,COMPLEX OBSTACLE,SUCCESS,0.2355,True,0.3001,18.768,404,0.2484,0.2534,0.34,False,False,0,
COMPLEX OBSTACLE_16,COMPLEX OBSTACLE,SUCCESS,0.25,True,0.4055,10.637,428,0.1969,0.1734,0.3389,False,False,0,
COMPLEX OBSTACLE_17,COMPLEX OBSTACLE,COLLISION,6.5004,False,0.3,6.359,266,0.0366,0.0941,0.3378,False,False,0,EXCESSIVE_SPEED
COMPLEX OBSTACLE_18,COMPLEX OBSTACLE,COLLISION,3.7324,False,0.3001,12.251,281,0.2863,0.2704,0.3372,False,False,0,LATE_OBSTACLE_REACTION
COMPLEX OBSTACLE_19,COMPLEX OBSTACLE,SUCCESS,0.2291,True,0.3,11.834,407,0.2546,0.1771,0.3471,False,False,0,
COMPLEX OBSTACLE_20,COMPLEX OBSTACLE,COLLISION,7.8662,False,0.3,9.909,121,0.1089,0.3418,0.3162,False,False,0,EXCESSIVE_SPEED
COMPLEX OBSTACLE_21,COMPLEX OBSTACLE,SUCCESS,0.234,True,0.4024,8.886,313,0.2666,0.2473,0.34,False,False,0,
COMPLEX OBSTACLE_22,COMPLEX OBSTACLE,SUCCESS,0.2409,True,0.4051,15.756,388,0.2277,0.1919,0.3395,False,False,0,
COMPLEX OBSTACLE_23,COMPLEX OBSTACLE,COLLISION,7.6463,False,0.3,11.59,312,0.0326,0.0575,0.2776,False,False,0,WRONG_LOCAL_MANEUVER
COMPLEX OBSTACLE_24,COMPLEX OBSTACLE,SUCCESS,0.2408,True,0.4882,8.761,289,0.2716,0.3129,0.343,False,False,0,
COMPLEX OBSTACLE_25,COMPLEX OBSTACLE,SUCCESS,0.2415,True,0.3001,15.159,449,0.2165,0.212,0.3379,False,False,0,
COMPLEX OBSTACLE_26,COMPLEX OBSTACLE,COLLISION,3.2164,False,0.3,9.825,285,0.1735,0.1638,0.34,False,False,0,EXCESSIVE_SPEED
COMPLEX OBSTACLE_27,COMPLEX OBSTACLE,SUCCESS,0.2394,True,0.3001,11.038,363,0.2481,0.22,0.3441,False,False,0,
COMPLEX OBSTACLE_28,COMPLEX OBSTACLE,SUCCESS,0.2389,True,0.4241,10.559,293,0.2607,0.2886,0.3382,False,False,0,
COMPLEX OBSTACLE_29,COMPLEX OBSTACLE,SUCCESS,0.2035,True,0.3507,25.297,589,0.2499,0.2916,0.342,False,False,0,
COMPLEX OBSTACLE_30,COMPLEX OBSTACLE,SUCCESS,0.247,True,0.3921,11.397,302,0.1726,0.1882,0.3343,False,False,0,
TOP_LEFT_1,TOP_LEFT,SUCCESS,0.2455,True,0.3001,13.242,445,0.2327,0.2141,0.3452,False,False,0,
TOP_LEFT_2,TOP_LEFT,SUCCESS,0.2111,True,0.3711,11.674,333,0.2542,0.3288,0.342,False,False,0,
TOP_LEFT_3,TOP_LEFT,SUCCESS,0.2414,True,0.3683,11.03,358,0.2133,0.2296,0.3387,False,False,0,
TOP_LEFT_4,TOP_LEFT,SUCCESS,0.2361,True,0.4052,18.238,474,0.2336,0.2217,0.3378,False,False,0,
TOP_LEFT_5,TOP_LEFT,SUCCESS,0.2386,True,0.4365,11.319,390,0.256,0.3017,0.3425,False,False,0,
TOP_LEFT_6,TOP_LEFT,SUCCESS,0.2476,True,0.3,13.963,379,0.2437,0.3288,0.3395,False,False,0,
TOP_LEFT_7,TOP_LEFT,SUCCESS,0.241,True,0.3203,13.206,435,0.2426,0.1855,0.3379,False,False,0,
TOP_LEFT_8,TOP_LEFT,SUCCESS,0.2395,True,1.0255,6.976,8,0.1585,0.4787,0.2368,False,False,0,
TOP_LEFT_9,TOP_LEFT,SUCCESS,0.2325,True,0.4192,6.033,215,0.2217,0.2987,0.3428,False,False,0,
TOP_LEFT_10,TOP_LEFT,SUCCESS,0.2395,True,0.394,9.486,318,0.2531,0.2381,0.3409,False,False,0,
TOP_RIGHT_1,TOP_RIGHT,COLLISION,1.7662,False,0.3005,8.772,226,0.2595,0.2859,0.3409,False,False,0,LATE_OBSTACLE_REACTION
TOP_RIGHT_2,TOP_RIGHT,COLLISION,1.3178,False,0.3001,7.062,183,0.2868,0.1926,0.3358,False,False,0,LATE_OBSTACLE_REACTION
TOP_RIGHT_3,TOP_RIGHT,SUCCESS,0.2307,True,0.3276,9.947,348,0.227,0.1821,0.3358,False,False,0,
TOP_RIGHT_4,TOP_RIGHT,SUCCESS,0.2467,True,0.3253,8.128,285,0.2797,0.29,0.3399,False,False,0,
TOP_RIGHT_5,TOP_RIGHT,TIMEOUT,7.1949,False,0.3,37.534,800,0.0624,0.2038,0.3485,False,False,0,TIMEOUT_LOW_PROGRESS
TOP_RIGHT_6,TOP_RIGHT,SUCCESS,0.2375,True,0.3001,9.821,328,0.2686,0.2869,0.3449,False,False,0,
TOP_RIGHT_7,TOP_RIGHT,SUCCESS,0.2396,True,0.3195,9.405,270,0.2661,0.2308,0.3407,False,False,0,
TOP_RIGHT_8,TOP_RIGHT,SUCCESS,0.2479,True,0.3,17.287,350,0.245,0.2366,0.3416,False,False,0,
TOP_RIGHT_9,TOP_RIGHT,SUCCESS,0.2441,True,0.3747,8.973,301,0.2779,0.2025,0.3393,False,False,0,
TOP_RIGHT_10,TOP_RIGHT,SUCCESS,0.2458,True,0.3564,13.58,282,0.2867,0.2096,0.3416,False,False,0,
BOTTOM_LEFT_1,BOTTOM_LEFT,SUCCESS,0.2385,True,0.532,10.51,277,0.2513,0.3469,0.3356,False,False,0,
BOTTOM_LEFT_2,BOTTOM_LEFT,SUCCESS,0.2374,True,0.3,13.375,407,0.2559,0.2326,0.3376,False,False,0,
