episode,step,robot_x,robot_y,robot_yaw,goal_x,goal_y,distance_to_goal,linear_vel,angular_vel,norm_action_linear,norm_action_angular,min_lidar,is_near_obstacle,progress_reward,clearance_reward,turning_penalty,inflation_penalty,sector_00,sector_01,sector_02,sector_03,sector_04,sector_05,sector_06,sector_07,sector_08,sector_09,sector_10,sector_11,sector_12,sector_13,sector_14,sector_15,sector_16,sector_17,sector_18,sector_19,sector_20,sector_21,sector_22,sector_23,sector_24,sector_25,sector_26,sector_27,sector_28,sector_29,sector_30,sector_31,sector_32,sector_33,sector_34,sector_35
10,224,2.9966934078153535,2.5666823349677204,1.6993,3.6714322566986084,7.012646198272705,4.4969,0.159355,-0.189081,0.379472,-0.066578,0.3065,True,0.279796,-0.011366,-0.001788,-0.05,6.0251,6.1688,2.2783,2.2704,5.9335,5.398,0.3065,0.3799,1.0128,0.4128,0.3076,3.5357,2.9537,3.0656,3.8685,5.0503,4.9262,4.9192,2.885,1.8558,1.3993,1.1513,1.0039,0.9148,0.8644,0.8437,0.8431,3.6575,2.3637,1.8121,1.8367,1.8724,2.1735,4.7142,10.8925,5.981
10,225,2.9942631722845374,2.5859209691109997,1.7,3.6714322566986084,7.012646198272705,4.4782,0.250419,0.043807,0.710613,0.015425,0.303,True,0.308396,-0.017675,-9.6e-05,-0.05,6.0392,6.1799,2.2963,2.2875,5.957,5.4124,0.303,0.4662,0.8764,0.3468,0.3102,3.5271,2.9405,3.0489,3.8369,5.0354,4.9068,4.8984,2.9341,1.8735,1.4076,1.1555,1.0061,0.9156,0.8642,0.8427,0.8414,3.7971,2.4362,1.8347,1.8271,1.8945,2.1517,4.646,10.9166,6.002
10,226,2.990900629905217,2.6072391383113747,1.6957,3.6714322566986084,7.012646198272705,4.4577,0.153125,-0.351367,0.356817,-0.123721,0.3049,True,0.253642,0.009669,-0.006173,-0.05,6.0643,6.175,2.3218,2.3043,6.0155,5.4488,0.3049,0.5234,0.7992,0.3112,5.1804,3.5596,2.9527,3.0099,3.764,5.0321,4.8918,4.8789,3.0606,1.9178,1.4281,1.166,1.0113,0.9175,0.8638,0.8402,0.8382,4.0428,2.5463,1.9007,1.829,1.9,2.1009,4.6846,10.9444,6.0212
10,227,2.9858357192808906,2.625138410041703,1.6776,3.6714322566986084,7.012646198272705,4.4408,0.214722,-0.057843,0.580807,-0.020367,0.3025,True,0.138864,-0.011847,-0.000167,-0.05,6.0858,6.1112,2.4122,2.3136,6.2171,5.5709,0.3025,0.4818,1.26,0.3218,5.118,5.4387,3.0225,2.9245,3.5238,5.0837,4.9014,4.8674,3.6521,2.122,1.5283,1.2234,1.0466,0.9394,0.8765,0.8456,0.8401,10.2045,2.8381,2.0498,1.8422,1.9214,1.9684,4.6855,11.0,6.0328
10,228,2.9787548118267435,2.6356233257168875,1.6319,3.6714322566986084,7.012646198272705,4.4315,0.161353,-0.144465,0.386737,-0.050868,0.3009,True,0.127343,-0.008071,-0.001044,-0.05,10.9477,6.0894,6.3916,2.3077,2.4108,5.6633,0.3031,0.4578,0.9978,0.3009,5.0428,4.0156,3.1453,2.9164,3.2974,4.3205,4.9179,4.8562,4.5396,2.4102,1.6754,1.3147,1.1097,0.986,0.9122,0.8735,0.863,0.8636,3.1649,2.2075,1.8624,1.976,1.9443,4.7089,11.0712,6.044
10,229,2.9730942791080825,2.645120004021803,1.5918,3.6714322566986084,7.012646198272705,4.423,0.278908,-0.116648,0.814212,-0.041073,0.3007,True,0.149544,-0.000961,-0.00068,-0.05,6.0546,6.0866,6.2967,2.3088,2.331,5.8023,0.3007,0.4331,0.8182,0.3202,4.9874,4.3288,3.306,2.8808,3.1002,3.9605,4.948,4.8474,4.8455,2.7786,1.8419,1.4097,1.1707,1.0279,0.9417,0.894,0.8764,0.8762,3.6291,2.4141,1.8891,1.9162,1.9563,2.328,11.1717,10.9575
10,230,2.9682114679554927,2.6560018803173513,1.5456,3.6714322566986084,7.012646198272705,4.413,0.33,0.001738,1.0,0.000612,0.3038,True,0.202892,0.015532,-0.0,-0.05,6.0687,6.1062,6.1848,2.3243,2.3111,6.0491,0.3038,0.4037,0.6659,0.4113,0.3348,5.0938,3.5918,2.9,2.8659,3.5475,5.0129,4.8533,4.8315,3.5354,2.1387,1.5674,1.2675,1.0919,0.9854,0.9236,0.8947,0.891,4.5731,2.7831,2.045,1.9042,1.9741,2.1244,4.7486,11.0111
10,231,2.964523461096659,2.670302406100213,1.4812,3.6714322566986084,7.012646198272705,4.3995,0.267247,-0.090975,0.771808,-0.032033,0.3029,True,0.041822,-0.00483,-0.000414,-0.05,6.0726,6.1097,6.1599,2.3468,2.3146,6.1296,0.3029,0.3977,0.6379,0.4696,0.3615,5.07,3.6816,2.9487,2.8652,3.4586,5.0346,4.8584,4.8276,3.7955,2.2251,1.6086,1.2905,1.1056,0.9935,0.9278,0.8959,0.8906,10.9317,2.9056,2.1066,1.9118,1.9726,2.0691,4.7538,11.0343
10,232,2.958132187549812,2.674173213754682,1.4659,3.6714322566986084,7.012646198272705,4.3967,0.146378,-0.069412,0.332282,-0.024441,0.3028,True,0.008673,-0.000436,-0.000241,-0.05,6.0734,6.1063,6.1557,2.352,2.3152,6.1444,0.3028,0.3968,0.6334,0.4834,0.3672,5.0659,3.6983,2.9577,2.856,3.4432,5.0387,4.8594,4.8268,3.8465,2.2415,1.6163,1.2948,1.1081,0.9951,0.9286,0.8962,0.8905,0.8933,2.9288,2.1181,1.9087,1.9783,2.0596,4.7263,11.0389
10,233,2.956884146118748,2.674964570218948,1.463,3.6714322566986084,7.012646198272705,4.3961,0.157377,-0.14076,0.37228,-0.049564,0.3027,True,0.006447,-0.000501,-0.000991,-0.05,6.0739,6.1037,6.1526,2.3562,2.3157,6.1559,0.3027,0.396,0.63,0.4954,0.3721,5.0629,3.7112,2.9646,2.8595,3.4316,5.0418,4.8603,4.8262,3.8863,2.2541,1.6222,1.298,1.1101,0.9962,0.9292,0.8964,0.8905,0.8931,2.9467,2.1269,1.9049,1.9827,2.0524,0.5079,0.5064
